MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1913612,Exosc3,exosome component 3,4,,U4 snRNA 3'-end processing,,,IBA,PTN000481223 ,J:161428 
MGI:1923576,Exosc4,exosome component 4,15,,maturation of 5.8S rRNA,,,ISO,Q9NPD3 ,J:164563 
MGI:1923576,Exosc4,exosome component 4,15,,polyadenylation-dependent snoRNA 3'-end processing,,,IBA,PTN000237329 ,J:161428 
MGI:1923576,Exosc4,exosome component 4,15,,rRNA 3'-end processing,,,IBA,PTN000237329 ,J:161428 
MGI:1923576,Exosc4,exosome component 4,15,,rRNA processing,,,IEA,KW-0698 ,J:60000 
MGI:1923576,Exosc4,exosome component 4,15,,U4 snRNA 3'-end processing,,,IBA,PTN000237329 ,J:161428 
MGI:107889,Exosc5,exosome component 5,7,,polyadenylation-dependent snoRNA 3'-end processing,,,IBA,PTN000237329 ,J:161428 
MGI:107889,Exosc5,exosome component 5,7,,rRNA 3'-end processing,,,IBA,PTN000237329 ,J:161428 
MGI:107889,Exosc5,exosome component 5,7,,rRNA processing,,,IEA,KW-0698 ,J:60000 
MGI:107889,Exosc5,exosome component 5,7,,U4 snRNA 3'-end processing,,,IBA,PTN000237329 ,J:161428 
MGI:1919794,Exosc6,exosome component 6,8,,polyadenylation-dependent snoRNA 3'-end processing,,,IBA,PTN000237329 ,J:161428 
MGI:1919794,Exosc6,exosome component 6,8,,rRNA 3'-end processing,,,IBA,PTN000237329 ,J:161428 
MGI:1919794,Exosc6,exosome component 6,8,,rRNA processing,,,IEA,KW-0698 ,J:60000 
MGI:1919794,Exosc6,exosome component 6,8,,U4 snRNA 3'-end processing,,,IBA,PTN000237329 ,J:161428 
MGI:1913696,Exosc7,exosome component 7,9,,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",,,IBA,PTN000120504 ,J:161428 
MGI:1913696,Exosc7,exosome component 7,9,,rRNA processing,,,IEA,KW-0698 ,J:60000 
MGI:1913696,Exosc7,exosome component 7,9,,U1 snRNA 3'-end processing,,,IBA,PTN000120504 ,J:161428 
MGI:1913696,Exosc7,exosome component 7,9,,U4 snRNA 3'-end processing,,,IBA,PTN000120504 ,J:161428 
MGI:1913696,Exosc7,exosome component 7,9,,U5 snRNA 3'-end processing,,,IBA,PTN000120504 ,J:161428 
MGI:1916889,Exosc8,exosome component 8,3,,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",,,IBA,PTN000120504 ,J:161428 
MGI:1916889,Exosc8,exosome component 8,3,,RNA processing,,,IEA,IPR033196 ,J:72247 
MGI:1916889,Exosc8,exosome component 8,3,,rRNA processing,,,IEA,KW-0698 ,J:60000 
MGI:1916889,Exosc8,exosome component 8,3,,U1 snRNA 3'-end processing,,,IBA,PTN000120504 ,J:161428 
MGI:1916889,Exosc8,exosome component 8,3,,U4 snRNA 3'-end processing,,,IBA,PTN000120504 ,J:161428 
MGI:1916889,Exosc8,exosome component 8,3,,U5 snRNA 3'-end processing,,,IBA,PTN000120504 ,J:161428 
MGI:1355319,Exosc9,exosome component 9,3,,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",,,IBA,PTN000120504 ,J:161428 
MGI:1355319,Exosc9,exosome component 9,3,,RNA processing,,,IEA,IPR033100 ,J:72247 
MGI:1355319,Exosc9,exosome component 9,3,,rRNA processing,,,IEA,KW-0698 ,J:60000 
MGI:1355319,Exosc9,exosome component 9,3,,U1 snRNA 3'-end processing,,,IBA,PTN000120504 ,J:161428 
MGI:1355319,Exosc9,exosome component 9,3,,U4 snRNA 3'-end processing,,,IBA,PTN000120504 ,J:161428 
MGI:1355319,Exosc9,exosome component 9,3,,U5 snRNA 3'-end processing,,,IBA,PTN000120504 ,J:161428 
MGI:1355322,Exosc10,exosome component 10,4,,maturation of 5.8S rRNA,,,ISO,Q01780 ,J:164563 
MGI:1355322,Exosc10,exosome component 10,4,,RNA processing,,,IEA,IPR012588 ,J:72247 
MGI:1355322,Exosc10,exosome component 10,4,,rRNA processing,,,IEA,KW-0698 ,J:60000 
MGI:1914398,Fam103a1,"family with sequence similarity 103, member A1",7,,7-methylguanosine mRNA capping,,,ISO,Q9BTL3 ,J:164563 
MGI:1914398,Fam103a1,"family with sequence similarity 103, member A1",7,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1914398,Fam103a1,"family with sequence similarity 103, member A1",7,,recruitment of mRNA capping enzyme to RNA polymerase II holoenzyme complex,,,ISO,Q9BTL3 ,J:164563 
MGI:1917205,Fars2,phenylalanine-tRNA synthetase 2 (mitochondrial),13,,tRNA processing,,,ISO,O95363 ,J:164563 
MGI:1913837,Fastk,Fas-activated serine/threonine kinase,5,,regulation of RNA splicing,,,ISO,Q14296 ,J:164563 
MGI:2139469,Fastkd5,FAST kinase domains 5,2,,mitochondrial RNA processing,,,ISO,Q7L8L6 ,J:164563 
MGI:2139469,Fastkd5,FAST kinase domains 5,2,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:95486,Fbl,fibrillarin,7,,box C/D snoRNA 3'-end processing,,,IBA,PTN000036740 ,J:161428 
MGI:95486,Fbl,fibrillarin,7,,rRNA methylation,,,IBA,PTN000036740 ,J:161428 
MGI:95486,Fbl,fibrillarin,7,,rRNA processing,,,IEA,IPR000692 IPR020813 ,J:72247 
MGI:95486,Fbl,fibrillarin,7,,rRNA processing,,,IEA,KW-0698 ,J:60000 
MGI:95486,Fbl,fibrillarin,7,,tRNA processing,,,IEA,IPR000692 IPR020813 ,J:72247 
MGI:3034689,Fbll1,fibrillarin-like 1,11,,box C/D snoRNA 3'-end processing,,,IBA,PTN000036740 ,J:161428 
MGI:3034689,Fbll1,fibrillarin-like 1,11,,rRNA methylation,,,IBA,PTN000036740 ,J:161428 
MGI:3034689,Fbll1,fibrillarin-like 1,11,,rRNA processing,,,IEA,KW-0698 ,J:60000 
MGI:3034689,Fbll1,fibrillarin-like 1,11,,rRNA processing,,,IEA,IPR000692 IPR020813 ,J:72247 
MGI:3034689,Fbll1,fibrillarin-like 1,11,,tRNA processing,,,IEA,IPR000692 IPR020813 ,J:72247 
MGI:1920986,Fcf1,FCF1 rRNA processing protein,12,,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",,,IMP,,J:218306 
MGI:1920986,Fcf1,FCF1 rRNA processing protein,12,,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",,,IMP,,J:218306 
MGI:1920986,Fcf1,FCF1 rRNA processing protein,12,,rRNA processing,,,IEA,KW-0698 ,J:60000 
MGI:1914149,Fip1l1,FIP1 like 1 (S. cerevisiae),5,,mRNA polyadenylation,,,IBA,PTN000336935 ,J:161428 
MGI:1914149,Fip1l1,FIP1 like 1 (S. cerevisiae),5,,mRNA polyadenylation,,,IC,GO:0005847 ,J:149256 
MGI:1914149,Fip1l1,FIP1 like 1 (S. cerevisiae),5,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1914149,Fip1l1,FIP1 like 1 (S. cerevisiae),5,,pre-mRNA cleavage required for polyadenylation,,,IBA,PTN000336935 ,J:161428 
MGI:95564,Fmr1,fragile X mental retardation syndrome 1,X,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:95564,Fmr1,fragile X mental retardation syndrome 1,X,,"regulation of alternative mRNA splicing, via spliceosome",,,IDA,,J:173059 
MGI:95564,Fmr1,fragile X mental retardation syndrome 1,X,,"regulation of alternative mRNA splicing, via spliceosome",,,ISO,Q06787 ,J:164563 
MGI:95564,Fmr1,fragile X mental retardation syndrome 1,X,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:893597,Frg1,FSHD region gene 1,8,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:893597,Frg1,FSHD region gene 1,8,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:893597,Frg1,FSHD region gene 1,8,,rRNA processing,,,IEA,KW-0698 ,J:60000 
MGI:1859648,Ftsj1,FtsJ RNA methyltransferase homolog 1 (E. coli),X,,tRNA methylation,,,IBA,PTN000100323 ,J:161428 
MGI:1859648,Ftsj1,FtsJ RNA methyltransferase homolog 1 (E. coli),X,,tRNA methylation,,,ISO,Q9UET6 ,J:164563 
MGI:1860295,Ftsj3,FtsJ RNA methyltransferase homolog 3 (E. coli),11,,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",,,IBA,PTN000100393 ,J:161428 
MGI:1860295,Ftsj3,FtsJ RNA methyltransferase homolog 3 (E. coli),11,,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",,,IBA,PTN000100393 ,J:161428 
MGI:1860295,Ftsj3,FtsJ RNA methyltransferase homolog 3 (E. coli),11,,rRNA methylation,,,IBA,PTN000100393 ,J:161428 
MGI:1860295,Ftsj3,FtsJ RNA methyltransferase homolog 3 (E. coli),11,,rRNA processing,,,IEA,KW-0698 ,J:60000 
MGI:1860295,Ftsj3,FtsJ RNA methyltransferase homolog 3 (E. coli),11,,rRNA processing,,,IEA,IPR012920 ,J:72247 
MGI:1930948,Gar1,GAR1 ribonucleoprotein,3,,rRNA processing,,,IEA,KW-0698 ,J:60000 
MGI:1930948,Gar1,GAR1 ribonucleoprotein,3,,snoRNA guided rRNA pseudouridine synthesis,,,IBA,PTN000579935 ,J:161428 
MGI:2141656,Gcfc2,GC-rich sequence DNA binding factor 2,6,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:2141656,Gcfc2,GC-rich sequence DNA binding factor 2,6,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:2141656,Gcfc2,GC-rich sequence DNA binding factor 2,6,,spliceosomal complex assembly,,,ISO,P16383 ,J:164563 
MGI:1913853,Gemin2,gem nuclear organelle associated protein 2,12,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1913853,Gemin2,gem nuclear organelle associated protein 2,12,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1913853,Gemin2,gem nuclear organelle associated protein 2,12,,spliceosomal complex assembly,,,IEA,IPR017364 ,J:72247 
MGI:1913853,Gemin2,gem nuclear organelle associated protein 2,12,,spliceosomal snRNP assembly,,,ISO,O14893 ,J:164563 
MGI:2449313,Gemin4,gem nuclear organelle associated protein 4,11,,spliceosomal snRNP assembly,,,IBA,PTN001036936 ,J:161428 
MGI:2449313,Gemin4,gem nuclear organelle associated protein 4,11,,spliceosomal snRNP assembly,,,ISO,P57678 ,J:164563 
MGI:2449311,Gemin5,gem nuclear organelle associated protein 5,11,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:2449311,Gemin5,gem nuclear organelle associated protein 5,11,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:2449311,Gemin5,gem nuclear organelle associated protein 5,11,,spliceosomal snRNP assembly,,,ISO,Q8TEQ6 ,J:164563 
MGI:1914492,Gemin6,gem nuclear organelle associated protein 6,17,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1914492,Gemin6,gem nuclear organelle associated protein 6,17,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1914492,Gemin6,gem nuclear organelle associated protein 6,17,,spliceosomal complex assembly,,,IEA,IPR009422 ,J:72247 
MGI:1914492,Gemin6,gem nuclear organelle associated protein 6,17,,spliceosomal snRNP assembly,,,ISO,Q8WXD5 ,J:164563 
MGI:1916981,Gemin7,gem nuclear organelle associated protein 7,7,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1916981,Gemin7,gem nuclear organelle associated protein 7,7,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1916981,Gemin7,gem nuclear organelle associated protein 7,7,,spliceosomal snRNP assembly,,,ISO,Q9H840 ,J:164563 
MGI:2384300,Gemin8,gem nuclear organelle associated protein 8,X,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:2384300,Gemin8,gem nuclear organelle associated protein 8,X,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:2384300,Gemin8,gem nuclear organelle associated protein 8,X,,spliceosomal snRNP assembly,,,ISO,Q9NWZ8 ,J:164563 
MGI:3644226,Gm8994,predicted gene 8994,6,,RNA splicing,,,IBA,PTN000619776 ,J:161428 
MGI:3779903,Gm9493,predicted gene 9493,19,,rRNA processing,,,IBA,PTN000138848 ,J:161428 
MGI:3702053,Gm13691,predicted gene 13691,2,,"mRNA splicing, via spliceosome",,,IBA,PTN000427686 ,J:161428 
MGI:3702055,Gm13693,predicted gene 13693,2,,"mRNA splicing, via spliceosome",,,IBA,PTN000427686 ,J:161428 
MGI:3702064,Gm13694,predicted gene 13694,2,,"mRNA splicing, via spliceosome",,,IBA,PTN000427686 ,J:161428 
MGI:3702066,Gm13695,predicted gene 13695,2,,"mRNA splicing, via spliceosome",,,IBA,PTN000427686 ,J:161428 
MGI:3702068,Gm13696,predicted gene 13696,2,,"mRNA splicing, via spliceosome",,,IBA,PTN000427686 ,J:161428 
MGI:3702070,Gm13697,predicted gene 13697,2,,"mRNA splicing, via spliceosome",,,IBA,PTN000427686 ,J:161428 
MGI:3702072,Gm13698,predicted gene 13698,2,,"mRNA splicing, via spliceosome",,,IBA,PTN000427686 ,J:161428 
MGI:3648256,Gm16381,predicted gene 16381,12,,"mRNA splicing, via spliceosome",,,IBA,PTN000315756 ,J:161428 
MGI:1914721,Gpatch1,G patch domain containing 1,7,,mRNA processing,,,IEA,IPR011666 ,J:72247 
MGI:106479,Grsf1,G-rich RNA sequence binding factor 1,5,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:106479,Grsf1,G-rich RNA sequence binding factor 1,5,,RNA processing,,,IEA,IPR033106 ,J:72247 
MGI:106479,Grsf1,G-rich RNA sequence binding factor 1,5,,tRNA processing,,,IEA,KW-0819 ,J:60000 
MGI:107227,Gtf2h5,"general transcription factor IIH, polypeptide 5",17,,rRNA processing,happens in brain,,IMP,MGI:5514340 ,J:198536 
MGI:1917609,Gtpbp3,GTP binding protein 3,8,,tRNA modification,,,IEA,IPR004520 ,J:72247 
MGI:1917609,Gtpbp3,GTP binding protein 3,8,,tRNA processing,,,IEA,KW-0819 ,J:60000 
MGI:1916487,Gtpbp4,GTP binding protein 4,13,,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",,,IMP,,J:218306 
MGI:1891713,Habp4,hyaluronic acid binding protein 4,13,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1891713,Habp4,hyaluronic acid binding protein 4,13,,positive regulation of RNA splicing,,,ISO,Q5JVS0 ,J:164563 
MGI:1891713,Habp4,hyaluronic acid binding protein 4,13,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:2442524,Heatr1,HEAT repeat containing 1,13,,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",,,IBA,PTN000335845 ,J:161428 
MGI:2442524,Heatr1,HEAT repeat containing 1,13,,positive regulation of rRNA processing,,,ISO,Q9H583 ,J:164563 
MGI:2152895,Helb,helicase (DNA) B,10,,RNA processing,,,IBA,PTN000433338 ,J:161428 
MGI:107159,Hmx2,H6 homeobox 2,7,,"positive regulation of mRNA splicing, via spliceosome",,,IMP,,J:204486 
MGI:104820,Hnrnpa1,heterogeneous nuclear ribonucleoprotein A1,15,,"alternative mRNA splicing, via spliceosome",,,IDA,,J:97604 
MGI:104820,Hnrnpa1,heterogeneous nuclear ribonucleoprotein A1,15,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:104820,Hnrnpa1,heterogeneous nuclear ribonucleoprotein A1,15,,RNA splicing,,,IDA,,J:97604 
MGI:104819,Hnrnpa2b1,heterogeneous nuclear ribonucleoprotein A2/B1,6,,mRNA processing,,,ISO,P22626 ,J:164563 
MGI:104819,Hnrnpa2b1,heterogeneous nuclear ribonucleoprotein A2/B1,6,,"mRNA splicing, via spliceosome",,,ISO,P22626 ,J:164563 
MGI:104819,Hnrnpa2b1,heterogeneous nuclear ribonucleoprotein A2/B1,6,,"negative regulation of mRNA splicing, via spliceosome",,,IDA,,J:140901 
MGI:104819,Hnrnpa2b1,heterogeneous nuclear ribonucleoprotein A2/B1,6,,"negative regulation of mRNA splicing, via spliceosome",,,IMP,,J:140901 
MGI:104819,Hnrnpa2b1,heterogeneous nuclear ribonucleoprotein A2/B1,6,,primary miRNA processing,,,ISO,P22626 ,J:164563 
MGI:104819,Hnrnpa2b1,heterogeneous nuclear ribonucleoprotein A2/B1,6,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1917171,Hnrnpa3,heterogeneous nuclear ribonucleoprotein A3,2,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1917171,Hnrnpa3,heterogeneous nuclear ribonucleoprotein A3,2,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:107795,Hnrnpc,heterogeneous nuclear ribonucleoprotein C,14,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:107795,Hnrnpc,heterogeneous nuclear ribonucleoprotein C,14,,"mRNA splicing, via spliceosome",,,ISO,P07910 ,J:164563 
MGI:107795,Hnrnpc,heterogeneous nuclear ribonucleoprotein C,14,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:2138741,Hnrnpf,heterogeneous nuclear ribonucleoprotein F,6,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:2138741,Hnrnpf,heterogeneous nuclear ribonucleoprotein F,6,,regulation of RNA splicing,,,ISO,P52597 ,J:164563 
MGI:2138741,Hnrnpf,heterogeneous nuclear ribonucleoprotein F,6,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1891925,Hnrnph1,heterogeneous nuclear ribonucleoprotein H1,11,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1891925,Hnrnph1,heterogeneous nuclear ribonucleoprotein H1,11,,regulation of RNA splicing,,,ISO,P31943 ,J:164563 
MGI:1891925,Hnrnph1,heterogeneous nuclear ribonucleoprotein H1,11,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:99894,Hnrnpk,heterogeneous nuclear ribonucleoprotein K,13,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:99894,Hnrnpk,heterogeneous nuclear ribonucleoprotein K,13,,"negative regulation of mRNA splicing, via spliceosome",,,IMP,,J:204486 
MGI:99894,Hnrnpk,heterogeneous nuclear ribonucleoprotein K,13,,positive regulation of RNA splicing,,,ISO,RGD:71058 ,J:155856 
MGI:99894,Hnrnpk,heterogeneous nuclear ribonucleoprotein K,13,,RNA processing,,,IEA,IPR033090 ,J:72247 
MGI:99894,Hnrnpk,heterogeneous nuclear ribonucleoprotein K,13,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:104816,Hnrnpl,heterogeneous nuclear ribonucleoprotein L,7,,mRNA processing,,,IEA,IPR006536 ,J:72247 
MGI:104816,Hnrnpl,heterogeneous nuclear ribonucleoprotein L,7,,"negative regulation of mRNA splicing, via spliceosome",,,ISO,RGD:71059 ,J:155856 
MGI:104816,Hnrnpl,heterogeneous nuclear ribonucleoprotein L,7,,"regulation of alternative mRNA splicing, via spliceosome",,,IMP,,J:188749 
MGI:104816,Hnrnpl,heterogeneous nuclear ribonucleoprotein L,7,,"regulation of alternative mRNA splicing, via spliceosome",,,ISO,P14866 ,J:164563 
MGI:1919942,Hnrnpll,heterogeneous nuclear ribonucleoprotein L-like,17,,mRNA processing,,,IEA,IPR006536 ,J:72247 
MGI:1919942,Hnrnpll,heterogeneous nuclear ribonucleoprotein L-like,17,,positive regulation of RNA splicing,,,ISO,Q8WVV9 ,J:164563 
MGI:1926465,Hnrnpm,heterogeneous nuclear ribonucleoprotein M,17,,"alternative mRNA splicing, via spliceosome",,,ISO,P52272 ,J:164563 
MGI:1926465,Hnrnpm,heterogeneous nuclear ribonucleoprotein M,17,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1926465,Hnrnpm,heterogeneous nuclear ribonucleoprotein M,17,,"mRNA splicing, via spliceosome",,,IEA,IPR024667 ,J:72247 
MGI:1926465,Hnrnpm,heterogeneous nuclear ribonucleoprotein M,17,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1858195,Hnrnpu,heterogeneous nuclear ribonucleoprotein U,1,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1858195,Hnrnpu,heterogeneous nuclear ribonucleoprotein U,1,,"regulation of alternative mRNA splicing, via spliceosome",,,ISO,Q00839 ,J:164563 
MGI:1858195,Hnrnpu,heterogeneous nuclear ribonucleoprotein U,1,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:2443517,Hnrnpul1,heterogeneous nuclear ribonucleoprotein U-like 1,7,,RNA processing,,,IEA,IPR027025 ,J:72247 
MGI:1333871,Hsd17b10,hydroxysteroid (17-beta) dehydrogenase 10,X,,mitochondrial tRNA 3'-end processing,,,ISO,Q99714 ,J:164563 
MGI:1333871,Hsd17b10,hydroxysteroid (17-beta) dehydrogenase 10,X,,mitochondrial tRNA 5'-end processing,,,ISO,Q99714 ,J:164563 
MGI:1333871,Hsd17b10,hydroxysteroid (17-beta) dehydrogenase 10,X,,mitochondrial tRNA methylation,,,ISO,Q99714 ,J:164563 
MGI:1333871,Hsd17b10,hydroxysteroid (17-beta) dehydrogenase 10,X,,tRNA processing,,,IEA,KW-0819 ,J:60000 
MGI:96238,Hsf1,heat shock factor 1,15,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:96238,Hsf1,heat shock factor 1,15,,positive regulation of mRNA polyadenylation,,,ISO,Q00613 ,J:164563 
MGI:105384,Hspa8,heat shock protein 8,9,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:105384,Hspa8,heat shock protein 8,9,,"positive regulation of mRNA splicing, via spliceosome",,,IMP,,J:204486 
MGI:105384,Hspa8,heat shock protein 8,9,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1919709,Htatsf1,HIV TAT specific factor 1,X,,"mRNA splicing, via spliceosome",,,IBA,PTN000401295 ,J:161428 
MGI:1345142,Ik,IK cytokine,18,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1345142,Ik,IK cytokine,18,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1914544,Ikbkap,"inhibitor of kappa light polypeptide enhancer in B cells, kinase complex-associated protein",4,,tRNA wobble uridine modification,,,IEA,IPR006849 ,J:72247 
MGI:1916119,Imp3,"IMP3, U3 small nucleolar ribonucleoprotein",9,,rRNA processing,,,IGI,P32899 ,J:82786 
MGI:106572,Imp4,"IMP4, U3 small nucleolar ribonucleoprotein",1,,rRNA processing,,,TAS,,J:82786 
MGI:1915760,Ints1,integrator complex subunit 1,5,,snRNA processing,,,ISO,Q8N201 ,J:164563 
MGI:1915760,Ints1,integrator complex subunit 1,5,,U2 snRNA 3'-end processing,,,IMP,MGI:3663683 ,J:124808 
MGI:1917672,Ints2,integrator complex subunit 2,11,,snRNA 3'-end processing,,,IBA,PTN002006863 ,J:161428 
MGI:1917672,Ints2,integrator complex subunit 2,11,,snRNA processing,,,ISO,Q9H0H0 ,J:164563 
MGI:2140050,Ints3,integrator complex subunit 3,3,,snRNA processing,,,ISO,Q68E01 ,J:164563 
MGI:1917164,Ints4,integrator complex subunit 4,7,,snRNA processing,,,IBA,PTN000468509 ,J:161428 
MGI:1917164,Ints4,integrator complex subunit 4,7,,snRNA processing,,,ISO,Q96HW7 ,J:164563 
MGI:1923578,Ints5,integrator complex subunit 5,19,,snRNA processing,,,ISO,Q6P9B9 ,J:164563 
MGI:1202397,Ints6,integrator complex subunit 6,14,,snRNA processing,,,ISO,Q9UL03 ,J:164563 
MGI:1924315,Ints7,integrator complex subunit 7,1,,snRNA 3'-end processing,,,IBA,PTN000330295 ,J:161428 
MGI:1924315,Ints7,integrator complex subunit 7,1,,snRNA processing,,,ISO,Q9NVH2 ,J:164563 
MGI:1919906,Ints8,integrator complex subunit 8,4,,snRNA processing,,,ISO,Q75QN2 ,J:164563 
MGI:1098533,Ints9,integrator complex subunit 9,14,,snRNA processing,,,ISO,Q9NV88 ,J:164563 
MGI:1918135,Ints10,integrator complex subunit 10,8,,snRNA processing,,,ISO,Q9NVR2 ,J:164563 
MGI:1919207,Ints11,integrator complex subunit 11,4,,snRNA processing,,,ISO,Q5TA45 ,J:164563 
MGI:1919043,Ints12,integrator complex subunit 12,3,,snRNA processing,,,ISO,Q96CB8 ,J:164563 
MGI:1928895,Isg20,interferon-stimulated protein,7,,rRNA processing,,,IEA,KW-0698 ,J:60000 
MGI:1923310,Isy1,ISY1 splicing factor homolog,6,,generation of catalytic spliceosome for second transesterification step,,,IBA,PTN000314659 ,J:161428 
MGI:1923310,Isy1,ISY1 splicing factor homolog,6,,mRNA 3'-splice site recognition,,,IBA,PTN000314659 ,J:161428 
MGI:1923310,Isy1,ISY1 splicing factor homolog,6,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1923310,Isy1,ISY1 splicing factor homolog,6,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1920723,Iws1,"IWS1, SUPT6 interacting protein",18,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1920723,Iws1,"IWS1, SUPT6 interacting protein",18,,regulation of mRNA processing,,,IBA,PTN001114632 ,J:161428 
MGI:1920723,Iws1,"IWS1, SUPT6 interacting protein",18,,regulation of mRNA processing,,,ISO,Q96ST2 ,J:164563 
MGI:1920723,Iws1,"IWS1, SUPT6 interacting protein",18,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1858910,Jmjd6,jumonji domain containing 6,11,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1858910,Jmjd6,jumonji domain containing 6,11,,"regulation of mRNA splicing, via spliceosome",,,IMP,,J:169297 
MGI:1858910,Jmjd6,jumonji domain containing 6,11,,"regulation of mRNA splicing, via spliceosome",,,ISO,Q6NYC1 ,J:164563 
MGI:1858910,Jmjd6,jumonji domain containing 6,11,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:893579,Khdrbs1,"KH domain containing, RNA binding, signal transduction associated 1",4,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:893579,Khdrbs1,"KH domain containing, RNA binding, signal transduction associated 1",4,,"regulation of mRNA splicing, via spliceosome",,,IDA,,J:179373 
MGI:2159649,Khdrbs2,"KH domain containing, RNA binding, signal transduction associated 2",1,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:2159649,Khdrbs2,"KH domain containing, RNA binding, signal transduction associated 2",1,,"regulation of mRNA splicing, via spliceosome",,,IDA,,J:179373 
MGI:1313312,Khdrbs3,"KH domain containing, RNA binding, signal transduction associated 3",15,,mRNA processing,,,ISO,RGD:620921 ,J:155856 
MGI:1313312,Khdrbs3,"KH domain containing, RNA binding, signal transduction associated 3",15,,positive regulation of RNA splicing,,,ISO,RGD:620921 ,J:155856 
MGI:1313312,Khdrbs3,"KH domain containing, RNA binding, signal transduction associated 3",15,,"regulation of mRNA splicing, via spliceosome",,,IDA,,J:179373 
MGI:1336214,Khsrp,KH-type splicing regulatory protein,17,,mRNA processing,,,IEA,KW-0507 ,J:60000 
